TeamNumber,Name,City,State,Country,ImageURL
6588,Counter-Torque Robotics,Lawton,Michigan,USA,
6589,Cardinal Robotics,Bloomingdale,Michigan,USA,
6590,SaviTech,Brooklyn,New York,USA,
6591,Panther Powered Robotics 6591,Stockbridge,Michigan,USA,
6592,Sexton Redbots,Lansing,Michigan,USA,
6593,HyperDrive Robotics,Richmond Hill,New York,USA,
6594,EV ROBOTICS,Lansing,Michigan,USA,
6595,QUAKE,Lansing,Michigan,USA,
6596,Ashley BearBots,Ashley,Michigan,USA,
6597,Eagles,Saginaw,Michigan,USA,
6599,Northport Wildcats,Northport,Michigan,USA,
6600,Tech Heads,Baldwin,Michigan,USA,
6601,Easy Company,Staten Island,New York,USA,
6602,Belle Bots,Little Rock,Arkansas,USA,
6603,Cornerstone Crushers,Weyburn,Saskatchewan,Canada,
6604,Tecmilenio - Equipo ITAC - 6604,CULIACAN,Sinaloa,Mexico,
6605,Prepa Tecmilenio -  Imperium Fons,Cuernavaca,Morelos,Mexico,
6606,Prepa Tecmilenio Pink Hawks 6606,Metepec,Mexico,Mexico,
6607,Tecmilenio - ARMY ROBOT TECHNOLOGY - 6607,Veracruz,Veracruz,Mexico,
6608,Prepa Tecmilenio - ARCADIA,Guadalajara,Jalisco,Mexico,
6609,Suwannee Bulldogs,Live Oak,Florida,USA,
6610,Robot Roll Call,Burton,Michigan,USA,
6611,WolverBots,Au Gres,Michigan,USA,
6612,NexGen Robotics,Antioch,California,USA,
6613,Gogebic Range Robotics,Hurley,Wisconsin,USA,
6614,ROBOTEDIST,İSTANBUL,Istanbul,Turkey,
6615,Bellevillains,Belleville,Michigan,USA,
6616,Mechanical Pumas,Detroit,Michigan,USA,
6617,NASA BHS Black Hawks Robotics Club,Bellingham,Massachusetts,USA,
6618,WARHBOTS,Flat Rock,Michigan,USA,
6619,GravitechX,Livermore,California,USA,
6620,Voltage Vikings,North Smithfield,Rhode Island,USA,
6621,Artemis,Chatham,New York,USA,
6622,Stan Robotix,MONTREAL,Québec,Canada,
6623,Robot Maroc,Meknès,Meknès,Morocco,
6624,Marinette RoboMarines,Marinette,Wisconsin,USA,
6625,İEA Robotics,İstanbul,Istanbul,Turkey,
6626,Robohana,Andrews,South Carolina,USA,
6627,Niles Nordic Knights,Niles,Michigan,USA,
6628,KMS BOTKICKERS,Kerkhoven,Minnesota,USA,
6629,Concord Boyne Kestrels,Boyne City,Michigan,USA,
6630,F.U.N.  (Fiercely Uknighted Nation),La Porte City,Iowa,USA,
6631,Rocket Robotics,Reese,Michigan,USA,
6632,Northview Robotics,Toronto,Ontario,Canada,
6633,Robo-Elephants,Detroit,Michigan,USA,
6634,Tecmilenio Phoenix Forces 6634,San Nicolás de los Garza,Nuevo León,Mexico,
6635,JaXon Falcon Works,Jackson,Michigan,USA,
6636,Full Metal Beavers,Jamaica,New York,USA,
6637,BetaWolves,Carney,Michigan,USA,
6638,Fulton Pirates,Middleton,Michigan,USA,
6639,The Mechanical Minds,Hickory,North Carolina,USA,
6640,Metal Eagles,Mayflower,Arkansas,USA,
6641,GSLRobotX,Istanbul,Istanbul,Turkey,
6642,Harrison Stingers of Steel,Harrison,Michigan,USA,
6643,Walnuts and Bolts,Racine,Wisconsin,USA,
6644,Atomic Automatons,Rocklin,California,USA,
6645,Alloy Obsession,Crosby,Texas,USA,
6646,Belton Robotics Spacemakers,Belton,Texas,USA,
6647,PrepaTec - VOLTEC,MONTERREY,Nuevo León,Mexico,
6648,MechaSpartans,Ozone Park,New York,USA,
6649,CHA Circuits ,Saint Helen,Michigan,USA,
6650,Tribebots,Fresno,California,USA,
6651,Golden Bots,Sterling,Illinois,USA,
6652,Tigres,San Nicolas de los Garza,Nuevo León,Mexico,
6653,West Wyalong,West Wyalong,New South Wales,Australia,
6654,Central Robobcatics,Knoxville,Tennessee,USA,
6655,Texan Robotics,Arlington,Texas,USA,
6656,Ryu Botics,Payson,Arizona,USA,
6657,Arborbotics,Visalia,California,USA,
6658,Rockbotics,Los Angeles,California,USA,
6659,CouBots,Escondido,California,USA,
6660,MarkerBots,Saint Louis,Missouri,USA,
6661,Polaris,North York,Ontario,Canada,
6662,FalconX,Pleasant Hill,California,USA,
6663,Kamikaze Krew,Onamia,Minnesota,USA,
6664,LADYBOTS,Pharr,Texas,USA,
6665,C-Otters,Monterey,California,USA,
6666,Hephaestus,Guadalupe,Nuevo León,Mexico,
6667,STEM Clippers,Chester,Pennsylvania,USA,
6668,Scorpion,Hesperia,California,USA,
6669,ATL Eagles Robotics,Delray Beach,Florida,USA,
6670,Red Cat Robots,Milwaukee,Wisconsin,USA,
6671,Adamas Robotics,Fort Worth,Texas,USA,
6672,Fusion Corps,Irving,Texas,USA,
6673,Alexis Tech Warriors,Glenevis,Alberta,Canada,
6674,MIT Iron Eagles,Phoenix,Arizona,USA,
6675,Ingenious Innovators,New Britain,Connecticut,USA,
6676,Prepa Tecmilenio - Thunder Hawks - 6676,Obregón,Sonora,Mexico,
6677,Team Avengers,Pascagoula,Mississippi,USA,
6678,DKRobotics,Svendborg,South Denmark,Denmark,
6679,TESLA Robotics,Calgary,Alberta,Canada,
6680,TRIObotics,Pocatello,Idaho,USA,
6681,FHC Warriors,Whitehorse,Yukon Territory,Canada,
6682,A.S.T.R.O. Vikings,Alamogordo,New Mexico,USA,
6683,The ROAR-Botics,Glendale,Arizona,USA,
6684,RoboCats,Carrizo Springs,Texas,USA,
6685,Amped Up,West Palm Beach,Florida,USA,
6686,Bionic Broncos,West Palm Beach,Florida,USA,
